term,definition,mention_count,synonyms,frequency_score,relevance_score,consistency_score,importance_score,remarks
Agent,An individual component within AgentOS that performs specific tasks or functions.,6,['Agents (AgentOS)'],3,3,1,7,
Memory,A system that allows agents to retain and recall information from previous interactions.,5,"['BufferMemory (AgentOS)', 'ChatHistory (AgentOS)']",3,2,1,6,
Workflow,A sequence of steps or tasks that agents follow to complete a process.,4,"['Agentic Workflows (AgentOS)', 'Step-based Workflows (AgentOS)']",2,3,1,6,
Tool,A resource or utility that agents use to perform specific functions or tasks.,4,['Toolkits (AgentOS)'],2,2,1,5,
API,Application Programming Interface that allows communication and integration with AgentOS.,4,['APIs (AgentOS)'],2,2,1,5,
Chain,"A sequence of components (e.g., agents, memory) that work together to achieve a specific task.",4,[],2,2,2,6,
Team,A group of agents working together to achieve a common goal or task.,3,"['Multi-agent Teams (AgentOS)', 'Multi-Agent Teams (AgentOS)']",2,2,1,5,
Runtime,"The environment in AgentOS where agents, teams, and workflows are executed.",3,"['FastAPI Runtime (AgentOS)', 'Runtime environment (Spark)']",2,2,1,5,
Interface,"A connection point that allows AgentOS to interact with external platforms like Slack, WhatsApp, etc.",3,"['Interfaces (AgentOS)', 'User Interface (UI) (Dashboard)']",2,2,1,5,
Prompt,Input text or instructions provided to an LLM to generate a response.,2,[],1,2,2,5,
Connector,A component that facilitates the integration of different data sources or services with the dashboard.,2,['Connectors (AgentOS)'],1,2,1,4,
Guardrails,"Built-in safeguards for validation, security, and prompt protection within agents.",1,[],1,2,2,5,
Human-in-the-Loop,"Native support for confirmations, manual overrides, and external tool execution within agents.",1,[],1,2,2,5,
Agentic RAG,Connecting to vector stores for hybrid search and reranking within agents.,1,[],1,2,2,5,
AgentConfig,"Configuration settings for an AtomicAgent, including client, model, system prompt, and history.",1,[],1,2,2,5,
SystemPromptGenerator,"A component that generates the system prompt for an agent, defining its behavior and purpose.",1,[],1,2,2,5,
Visualization,"A graphical representation of data, such as charts or graphs, used within the dashboard.",1,[],1,2,2,5,
Data Source,A connection to a database or API that provides data to the dashboard.,1,[],1,2,2,5,
Template,A pre-designed layout or structure for a dashboard that can be customized.,1,[],1,2,2,5,
User Interface (UI),The visual and interactive elements of the dashboard that users interact with.,1,[],1,2,2,5,
Data Binding,The process of linking data sources to specific elements within the dashboard.,1,[],1,2,2,5,
Filter,A tool that allows users to narrow down data displayed on the dashboard based on specific criteria.,1,[],1,2,2,5,
Input Schema,Specifies the structure and validation rules for the input data of an agent.,1,[],1,2,2,5,
Output Schema,Specifies the structure and validation rules for the output data of an agent.,1,[],1,2,2,5,
SSH,Secure Shell Protocol (SSH) provides a secure channel over an unsecured network for connecting to GitHub.,1,[],1,1,2,4,
Git,An open-source version control system (VCS) responsible for everything GitHub-related that happens locally on your computer.,1,[],1,1,2,4,
Repository,"A storage space on GitHub for your project's files, where you can collaborate and manage the project.",1,"['Local Repository (GitHub)', 'Remote Repository (GitHub)']",1,1,1,3,
Pull Request,"A method to communicate changes to a branch in a repository, allowing for review and collaboration.",1,[],1,1,2,4,
Two-Factor Authentication,A security feature that adds an extra layer of protection to your account and data.,1,[],1,1,2,4,
Action,A task or set of tasks that can be automated within a workflow.,1,['Actions marketplace (GitHub)'],1,1,1,3,
BaseIOSchema,"A base class for defining input and output schemas for agents, specifying structure and validation rules.",1,[],1,1,2,4,
Context Providers,Components that inject dynamic context into an agent's system prompt at runtime.,1,"['BaseDynamicContextProvider (AgentOS)', 'Dynamic Context Engineering (AgentOS)']",1,1,1,3,
Atomic Assembler,"A CLI tool for downloading and managing tools, agents, and pipelines in the Atomic Agents framework.",1,[],1,1,2,4,
AtomicAgent,"A modular component in the Atomic Agents framework that represents a single-purpose, reusable, and composable AI agent.",1,[],1,1,2,4,
Webhooks,HTTP callbacks that trigger workflows based on events.,1,[],1,1,2,4,
