Term,Definition,# of mentions in frameworks
API,Application Programming Interface that allows communication and integration with other systems.,4
Workflow,A sequence of steps or tasks that agents follow to complete a process.,3
GitHub Copilot,"An AI-powered tool that provides contextualized assistance throughout the software development lifecycle, including code completions, chat assistance, and code explanations.",2
Agent,"A component that performs specific tasks, often with tools, knowledge, and instructions.",1
Team,A group of agents that collaborate to achieve a common goal.,1
Interface,"A connection point that allows agents to interact with external systems like Slack, WhatsApp, etc.",1
Knowledge,A repository of information that agents can access to answer questions or make decisions.,1
Tool,A utility or function that agents can use to perform specific tasks.,1
Memory,A system that allows agents to retain and recall information from previous interactions.,1
Router,A component that directs tasks or information to the appropriate agent or step in a workflow.,1
Model,The underlying AI model that powers the agent's reasoning and decision-making capabilities.,1
AgentOS,"A runtime environment for running secure, high-performance agent systems in the cloud.",1
Control Plane,A management interface for monitoring and controlling the AgentOS.,1
Workflow Steps,Individual tasks or actions within a workflow that agents execute.,1
Interfaces,"Integration points that allow agents to connect with external platforms like Slack, AISdk, etc.",1
AtomicAgent,"A modular component in the Atomic Agents framework that performs a specific task, defined by input/output schemas and system prompts.",1
AgentConfig,"Configuration settings for an AtomicAgent, including client, model, system prompt, and history.",1
BaseIOSchema,A base class for defining input and output schemas to ensure consistent data structure and validation.,1
SystemPromptGenerator,"Generates system prompts for agents, defining their behavior, steps, and output instructions.",1
ChatHistory,Stores conversation history or other relevant data for an agent.,1
Context Providers,Components that inject dynamic context into an agent's system prompt at runtime.,1
BaseDynamicContextProvider,A base class for creating context providers that supply dynamic information to agents.,1
Atomic Assembler,"A CLI tool for downloading and managing tools, agents, and pipelines in the Atomic Agents framework.",1
Input Schema,Specifies the structure and validation rules for the input data of an agent.,1
Output Schema,Specifies the structure and validation rules for the output data of an agent.,1
Action,A task that automates a specific workflow or process within GitHub.,1
Runner,A server that runs workflows when they are triggered by events.,1
Agentic RAG,Retrieval-Augmented Generation framework that combines retrieval of relevant information with generative capabilities.,1
Matrix Builds,A feature that allows simultaneous testing across multiple operating systems and runtime versions.,1
Container,"A lightweight, standalone, executable package of software that includes everything needed to run it.",1
CDN,Content Delivery Network that provides fast and reliable distribution of packages and other content.,1
Webhook,A way for GitHub to notify external services about events that occur within a repository.,1
Self-hosted Runners,Runners that you can host on your own infrastructure to execute workflows.,1
Multi-container Testing,"The ability to test multiple containers within a workflow, such as a web service and its database.",1
GitHub Token,A token used to authenticate and authorize access to GitHub APIs and services.,1
GitHub Actions Marketplace,A platform to discover and share actions created by the GitHub community.,1
Event,"A specific activity in a repository that triggers a workflow, such as a push or pull request.",1
Dependency Resolution,The process of managing and resolving dependencies required for building and deploying software.,1
Secret Store,"A secure storage for sensitive information used in workflows, such as API keys and tokens.",1
Agent Mode,"A feature that helps make sweeping changes by analyzing code, proposing edits, running tests, and validating results across multiple files.",1
